Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"a gardener is going to plant 2 red rosebushes and 2 white rosebushes . if the gardener is to select each of the bushes at random , one at a time , and plant them in a row , what is the probability that the 2 rosebushes in the middle of the row will be the red rosebushes ?","we are asked to find the probability of one particular pattern : wrrw . total # of ways a gardener can plant these four bushes is the # of permutations of 4 letters wwrr , out of which 2 w ' s and 2 r ' s are identical , so 4 ! / 2 ! 2 ! = 6 ; so p = 1 / 6 answer : b .","a ) 1 / 12 , b ) 1 / 6 , c ) 1 / 5 , d ) 1 / 3 , e ) ½",b,"divide(const_1, choose(add(2, 2), 2))","add(n0,n0)|choose(#0,n0)|divide(const_1,#1)",probability
in a throw of dice what is the probability of ge æ « ng number greater than 3,"""explanation : number greater than 3 is 4 , 5 , 6 , so only 3 number total cases of dice = [ 1,2 , 3,4 , 5,6 ] so probability = 3 / 6 = 1 / 2 answer : a""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 1 / 6 , e ) none of these",a,"divide(subtract(const_6, 3), const_6)","subtract(const_6,n0)|divide(#0,const_6)|",probability
"given a bag with 2 red balls and 3 yellow balls , you randomly select one of them , in order . if the second ball you take is yellow , what is the probability that the first one was also yellow ?","this is a conditional probability question . basically we are told that out of 2 balls picked one is yellow and are asked to find the probability of the other one also to be yellow . so , possible options for this other ball would be : w , w , b , b ( as one yellow is already picked ) so the probability for that ball to be yellow too is 2 / 4 = 1 / 2 . option a","a ) 1 / 2 , b ) 1 / 5 , c ) 3 / 4 , d ) 1 / 3 , e ) 3 / 5",a,"divide(2, subtract(add(2, 3), const_1))","add(n0,n1)|subtract(#0,const_1)|divide(n0,#1)",probability
"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability that out of the two , one is white and one is blue ?","""the required probability = probability of choosing 6 balls out of the total 8 in such a way that we remove 4 out of 5 white and 2 out of 3 blue balls . ways to select 6 out of total 8 = 8 c 6 ways to select 4 out of 5 white balls = 5 c 4 ways to select 2 out of 3 blue balls = 3 c 2 thus the required probability = ( 5 c 4 * 3 c 2 ) / 8 c 6 = 15 / 28 . d is thus the correct answer .""","a ) 15 / 56 , b ) 41 / 56 , c ) 13 / 28 , d ) 15 / 28 , e ) 5 / 14",d,"divide(multiply(3, 5), divide(multiply(add(3, 5), add(5, const_2)), const_2))","add(n0,n1)|add(n1,const_2)|multiply(n0,n1)|multiply(#0,#1)|divide(#3,const_2)|divide(#2,#4)|",probability
in how many ways can 7 boys be seated in a circular order ?,"""number of arrangements possible = ( 7 − 1 ) ! = 6 ! = 6 x 5 x 4 x 3 x 2 x 1 = 720 answer : c""","a ) 110 , b ) 230 , c ) 720 , d ) 420 , e ) 680",c,"subtract(divide(divide(7, const_1), const_3), const_3)","divide(n0,const_1)|divide(#0,const_3)|subtract(#1,const_3)|",probability
a coin is tossed 4 times . what is the probability of getting exactly 3 heads ?,the number of possible outcomes is 2 ^ 4 = 16 there are 4 ways to get exactly 3 heads . p ( exactly 3 heads ) = 4 / 16 = 1 / 4 the answer is b .,"a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 8 , d ) 1 / 16 , e ) 3 / 16",b,"multiply(power(divide(const_1, const_2), 3), multiply(choose(const_4, const_3), divide(const_1, const_2)))","choose(const_4,const_3)|divide(const_1,const_2)|multiply(#0,#1)|power(#1,n1)|multiply(#2,#3)",probability
a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 5 or 12 ?,"""number of multiples of 5 from 1 through 30 = 30 / 5 = 6 number of multiples of 12 from 1 through 30 = 30 / 12 = 2 number of multiples of 5 and 12 both from 1 through 30 = number of multiples of 12 * 5 ( = 60 ) = 0 total favourable cases = 6 + 2 - 0 = 8 probability = 8 / 30 = 4 / 15 answer : option d""","a ) 17 / 30 , b ) 2 / 5 , c ) 7 / 15 , d ) 4 / 15 , e ) 11 / 30",d,"divide(add(floor(divide(30, 5)), divide(30, 12)), 30)","divide(n0,n2)|divide(n0,n1)|floor(#1)|add(#0,#2)|divide(#3,n0)|",probability
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is -","explanation : p ( s á ´ œ k ) = p ( s ) + p ( k ) - p ( s â ˆ © k ) , where s denotes spade and k denotes king . p ( s á ´ œ k ) = 13 / 52 + 4 / 52 - 1 / 52 = 4 / 13 answer : d","a ) 8 / 13 , b ) 6 / 13 , c ) 3 / 13 , d ) 4 / 13 , e ) 1 / 13",d,"add(divide(const_3, const_52), divide(divide(const_52, const_4), const_52))","divide(const_3,const_52)|divide(const_52,const_4)|divide(#1,const_52)|add(#0,#2)",probability
"a certain junior class has 1000 students and a certain senior class has 900 students . among these students , there are 60 siblings pairs each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected will be a sibling pair ?","""let ' s see pick 60 / 1000 first then we can only pick 1 other pair from the 800 so total will be 60 / 900 * 1000 simplify and you get 2 / 30000 answer is b""","a ) 3 / 40000 , b ) 2 / 30000 , c ) 9 / 2000 , d ) 1 / 60 , e ) 1 / 15",b,"divide(1, const_3)","divide(n3,const_3)|",probability
"what is the probability that the sum of two dice will yield a 9 , and then when both are thrown again , their sum will again yield a 9 ? assume that each die has 8 sides with faces numbered 1 to 8 .","""solution - rolling dices is an independent event . the combinations to get 9 are ( 1,8 ) , ( 8,1 ) , ( 2,7 ) , ( 7,2 ) , ( 3,6 ) , ( 6,3 ) , ( 4,5 ) , ( 5,4 ) , and total combinations of both dices is 64 . the probability of getting 9 in first attempt is 8 / 64 = 1 / 8 . probability of getting 9 again in second attempt = ( 1 / 8 ) * ( 1 / 8 ) = 1 / 64 . ans a""","a ) 1 / 64 , b ) 1 / 36 , c ) 1 / 12 , d ) 1 / 6 , e ) 1 / 3",a,"multiply(divide(8, power(8, const_2)), divide(8, power(8, const_2)))","power(n2,const_2)|divide(n2,#0)|multiply(#1,#1)|",probability
